Source,Relation,Target,Weight,Evidence,Confidence
tibetans,negotiates_with,european strangers,1,"When I said, 'I will take the southern road to Ladak,' they answered, 'There is no southern road.' When I spread the map out before them and pointed to the road, they objected, 'Well, there is a road ; but it is only for us. You may not travel through the Land of the Burkhans.'",0.7
tibetans,licenses,"chinese, ladakis, and adjacent asiatic races",1,"Chinese, Ladakis, and the adjacent Asiatic races all have free entrance into Tibet.",0.8
the valley of the yaggyu-rapga,connects_to,the big camp,1,"Whilst we were loading up, some of the Tibetans came forward and asked us to stop over the day ; Hlajeh Tsering and Yunduk Tsering were obliged to return, and it would be in our own interest if he bought our horses and arranged for the hire of yaks before they finally left us.",0.8
the tibetans,regulates,the yaggyu-rapga valley,1,"I pointed west, up the valley of the Yaggyu-rapga. "" It is impossible for you to advance that way,"" they asserted, ""you must go to the north-west.""",0.8
the lake in the west,connects_to,the nakktsong-tso,1,to all appearance it was almost as complicated as the Nakktsong-tso.,0.8
the tibetans,controls,the route to ladak,1,"The Tibetans declared we should have an escort all the way, and they undertook to procure us everything we wanted until we reached Ladak.",0.85
the tibetans,regulates,war,1,they never advanced beyond threats and the empty alarums of war.,0.9
hlajeh tsering,administers,cavalry force,1,"They drew them up in rank and file, but it was anything but an easy thing to get them to stand still.",0.85
khodai kullu,licenses,boat,1,"This time I selected Khodai Kullu to be my boatman, and we directed our course towards the outermost extremity of the craggy peninsula which bordered our bay on the south.",0.9
khodai kullu,supplies,boatman services,1,"This time I selected Khodai Kullu to be my boatman, and we directed our course towards the outermost extremity of the craggy peninsula which bordered our bay on the south.",0.95
tibetan soldiers,connects_to,chargut-tso,1,"The Tibetan soldiers... were drinking tea, smoking, and playing dice heside the Chargut-tso.",0.9
the western end of the islet,connects_to,a mighty waterfall,1,"Then I mapped the island, whilst Kutchuk gathered fuel. Then I went to the south-west edge of the island, where the cliffs descended vertically into the lake, and sat and listened to the thunder of the waves.",0.9
chargut-tso,connects_to,mountains,1,the gorge in which the lake lay were a sewer for carrying off all the dirty weather in that part of the world.,0.9
storms,disputes,weather,1,it seemed as if all the bad weather throughout the whole of Tibet were being forced to take the path across the Chargut-tso.,0.8
lake,connects_to,river-mouth,1,The lake soon narrowed and came to an end in a trumpet-shaped river-mouth.,0.8
cherdon,trades_with,tibetans,1,"Patrols of Tibetans were out in every direction, they also looking for us;",0.8
lama,connects_to,chargut-tso,1,"Chernoff and the Lama were looking for us round the Chargut-tso,",0.8
sirkin,exchanges_for,information about our whereabouts,1,Sirkin had ridden back the day before to see if we had by any chance turned up at the old camp from which we started.,0.8
yunduk tsering,regulates,tents of the tibetan emissaries,1,I told them bluntly that I would not permit the two officers who were to command our escort to assume a tone of authority towards us ; they must just content themselves with inquiring every morning which route I desired to adopt.,0.8
boggtsang-sangpo,connects_to,river,1,The river was divided into several arms...,0.95
camels,depends_on,pasture,1,...the pasture on its banks was so plentiful that we felt a day would not be lost if we stopped amongst it.,0.9
horses,depends_on,pasture,1,while everyone of the horses that survived was in a pretty bad way.,0.85
hunters,supplies,meat,1,...our hunters kept us well supplied with meat.,0.9
yamdu tsering,supplies,yaks,1,"Summoning Yamdu Tsering, therefore, I told him, that the time was come for him to provide us with the yaks which the Dalai Lama had promised ; and he at once undertook to supply them without loss of time.",0.85
littledale's caravan,exchanges_for,salt,1,"I found my men encamped at a spot called Churing, where Mollah Shah, who had been a member of Littledale's caravan, knew where he was ; and as if in proof of the fact that it was the same locality, we picked up an ass's shoe, a thing which could not possibly have been dropped by any other caravan except Littledale's.",0.8
the caravan,depends_on,yaks,1,"we had to tie it up in smaller loads, for a yak cannot carry as much as a camel.",0.9
yamdu tsering,connects_to,ramlung,1,"We found them, however, in the pleasant valley of Ramlung...",0.9
yaks,trades_with,tsos,1,"We received in this part of the country eight tsos in exchange for one liang or tael (about 9.) of Chinese silver, a transaction in which we were, of course, cheated.",0.8
lakkor-tso,depends_on,water,1,"The successive levels formed flat shelving tracts edged by ridges, behind which there were very often lagoons.",0.8
mohammed tokta,depends_on,milk,1,"Then I asked him how he felt, and he smiled in quite a friendly way. Nobody knew exactly when he passed away.",0.8
mohammed tokta,supplies,fuel,1,"Mollah Shah, who had the last watch, had gone off to collect fuel.",0.9
rudokis,governs,territory,1,"he had demanded a pass from the Dalai Lama and swore that if he did not produce one, he would not allow us to march through his territory.",0.8
high official,administers,tibet,1,"If you are a high official, you ought to know it is your bounden duty to help us on our way to Ladak.",0.8
robbers,disputes,tibetans,1,"Our Tibetans asserted that they were robbers and had hidden themselves in some ravine, and they urged us to rout them out and shoot them.",0.8
yak-caravan,trades_with,tibetans,1,"The yak-caravan, with its whistling, singing escort, and Shagdur carrying on a lively and playful conversation with them.",0.8
captain bower,trades_with,nain singh,1,Our route now lay intermediate between the route of Captain Bower and the route of Nain Singh.,0.8
shagdur,extracts_from,river tsangar-shar,1,"Shagdur and Chernoff especially distinguished themselves as anglers, and time after time brought me a bunch of beautiful fish, frozen as hard as a stone.",0.8
chernoff,extracts_from,river tsangar-shar,1,"Shagdur and Chernoff especially distinguished themselves as anglers, and time after time brought me a bunch of beautiful fish, frozen as hard as a stone.",0.8
lama,administers,tibetans,1,The Tibetans came to our Lama...,0.9
lamas,controls,wood,1,it was the lamas' property.,0.9
camels,migrates_through,gravel-and-shingle terraces,1,"without immersing them in the deep, cold water.",0.8
caravan of sheep from ladak,supplies,firing,1,it afforded them shelter as well as an abundance of firing-as indeed it did us-and in the evening their immense fires flung.,0.9
our tibetans,exchanges_for,fishing,1,and there we caught a number of fish.,0.8
q e tibetans,trades_with,"roo sheep, laden with salt",1,"Tibetans carry on a considerable trade across the frontier of Kashmir, bartering roo sheep, laden with salt, for 80 sheeploads of corn.",0.9
camels,depends_on,lake shore,1,"We kept close to the lake shore, following faithfully all its windings, although that frequently took us over very difficult gravel terraces.",0.8
chernoff,trades_with,tso-ngombo lake,1,On the 3rd of December I sent Chernoff across the lake in the skiff to sound the depth along a line which I had previously marked out for him : the soundings gave 98+ feet.,0.85
chernoff,trades_with,the south side of the lake,1,We continued our investigations a considerable distance along the south side of the lake without discovering any obstacle.,0.8
loppsen,trades_with,relief column from ladak,1,"Their leader, Loppsen, by name, agreed, however, to accompany us along the northern shore of the Panggong-tso, until we met the relief column from Ladak.",0.8
yolldash,trades_with,neighbouring encampment,1,"It was there Yolldash made some especial friends, so that we had to tie him up to prevent him from running away.",0.8
caravan,trades_with,siriap peninsula,1,We found the caravan comfortably established on a flat peninsula called Siriap~ where bushes were very plentiful.,0.8
chernoff and ordek,trades_with,panggong-tso,1,"I sent my two best boatmen, Chernoff and Ordek, to row south-west across the Panggong-tso and sound its depth.",0.8
lake,supplies,water,1,"The lake ran exceedingly high, for the wind, being forced through the long narrow valley, swept across it unhindered with redoubled vehemence.",0.85
yaks,extracts_from,top of the promontory,1,"M'hen they reached the top, fifteen of them were unloaded, and brought back to fetch my boxes, tents and other baggage ; which they took right over to the next camp on the other side.",0.9
indus river,connects_to,valley,1,"Upon reaching Kalachi we turned up a little side-glen, leaving the valley of the Indus on our left hand.",0.95
zoji-la,connects_to,baltal,1,"Shortly after that, however, we went down by a breaksneck descent to the station-house of Baltal...",0.85
murree (mum) pass,connects_to,rawal pindi,1,"The road ran first through the valley of the Jehlam, across the pass of Murree (Mum), and so on down to Rawal pindi.",0.85
tonga,trades_with,river,1,"On the right was a precipice, dropping sheer into the river...",0.8
lord curzon,governs,"~oo,ooo,ooo subjects",1,"We in Europe have very little conception of what it means to be Governor-General of India, with almost absolute power over ~oo,ooo,ooo subjects, or very nearly as many as are ruled by all the Sovereigns of Europe together.",0.9
lord curzon,licenses,functions of his office,1,"Lord Curzon takes an earnest view of his duties, sacrificing all his time and all his strength to the functions of his office.",0.8
ganderbal,connects_to,mountain pass,1,"As it grew slowly lighter, the white snow-fields became more and more distinctly perceptible, and the spruces stood out blacker and blacker against them. Every now and again somebody would tumble head over heels in the [mountain pass].",0.8
shagdur,depends_on,doctor shawe,1,Doctor Shawe diagnosed it as typhoid fever.,0.9
aul,administers,tent-village,1,"Aul, 'tent-village,' i. 8 ; through West Turkestan, i. 9-12 ; met by Islam Bai, i. 14...",0.8
islam bai,administers,togri-sai,1,"met by Islam Bai, i. 602-606 ; returns to Mandarlik, i. 3 ; makes trip to Ayag-kum-koll, ii. 4-36;",0.8
islam bai,trades_with,tibetans,1,"visited by Tibetan spies, ii. 387-388 ; escorted by Tibetans, ii. 400-407 ; met by Sirkin and Turdu Bai, ii. 423-429, 432 - 441 ; drifts down Sachu-sangpo, ii. 424 - 428.",0.7
kal-pet,depends_on,tibetan emissaries,1,"account of Tibetan emissaries, ii. 457-462;",0.6
traveler,supplies,camels and horses,1,"camels and horses break down, ii. 508-513 ; travels beside Lakkor-tso, ii. 516-519 ; down Somrneh-sangpo, ii. 524-527;",0.7
beglik-koll,connects_to,lake,1,"on Beglik-koll, i.",0.9
chappgan,connects_to,reed-pass,1,"Chappgan, "" reed-pass."" i.",0.8
ferry-boat,trades_with,goose,1,"of the ferry-boat, i.327",0.8
gobi,depends_on,temperature,1,"temperature in, ii. 78",0.6
tibet,governs,highlands,1,"Highlands, Tibetan. See TIBET,",0.9
kurbanchik,governs,east turkestan,1,"i. Koral-dungning-kill, i. J., governor of East Turkestan.",0.95
shereb lama,disputes,tibetans,1,"engages Shereb Lama, ii. 195",0.8
tibet,governs,lower tarim,1,"' detains Tibetan shepherds, of Lower Tarim...",0.9
yanghi-ko11,connects_to,yak-dung,1,"Yak-dung, fuel, ii. 39",0.8
yanghi-ko11,supplies,yak-dung,1,"Yak-dung, fuel, ii. 39",0.8
