Source,Relation,Target,Weight,Evidence,Confidence
the chamber of sambhar traders ltd.,trades_with,salt,1,"The registered traders of Sambhar, from all the three lists referred to above, grouped themselves into the four under-mentioned limited concerns in January, 1944. Sambhar. The Chamber of Sambhar Traders Ltd.",0.8
"collector of central excise, delhi",governs,sambhar registered traders,1,"In January 1946, the Collector of Central Excise, Delhi, decided in concurrence with the United Provinces Government to allow the four companies of registered traders at Sambhar, to place indents on requisitions received from the nominees by the 15th day of the month preceding the one to which the nominees' quota related.",0.8
united provinces government,negotiates_with,"collector of central excise, delhi",1,"In January 1946, the Collector of Central Excise, Delhi, decided in concurrence with the United Provinces Government to allow the four companies of registered traders at Sambhar, to place indents on requisitions received from the nominees by the 15th day of the month preceding the one to which the nominees' quota related.",0.8
sambhar companies,supplies,50 per cent of the district quota,1,The four Sambhar companies were only permitted to sell salt against the remaining 50 per cent quota...,0.9
sambhar companies,supplies,un-requisitioned quota,1,...the un-requisitioned quota was also allotted to the companies for sale to their own dealers...,0.8
sambhar salt traders association,supplies,mofussil traders,1,"The Sambhar traders were out of trade until recently, when in 1954 some of the State Governments decided to relax... a proportion of the trade was allotted to the Sambhar Salt Traders Association...",0.9
sambhar salt traders association,trades_with,mofussil traders,1,The nominees are now getting salt on indents placed by their District Magistrates in the treasury against the monthly quota fixed for them...,0.8
sambhar salt traders association,regulates,trade,1,...the system of allowing 50% of the district quota to the district traders freely through the district treasuries and 50% to the Sambhar traders has been introduced...,0.8
general manager,licenses,farodi,1,Having got a licence he deposits into an authorised treasury or sub-treasury the charges on the quantity of salt he requires...,0.9
farodi,supplies,salt,1,"The Farodi when he has provided himself with a register in which he is required to enter his daily sales, has his salt weighed for removal to the place where it may be stored and retailed by him.",0.85
farodi,regulates,salt sale,1,"A licence may be cancelled, and withdrawn at the discretion of the General Manager if the farodi fails to comply with rules or if there is reasonable suspicion that he is acting in contravention of the provisions of the Central Excise and Salt Act.",0.8
traders,supplies,bags of salt,1,Bags are supplied by the traders or their local agents.,0.9
sambhar,connects_to,railway,1,Sambhar was connected by rail in 1875-76.,0.9
sambhar,supplies,bihar and small quantities to bengal,1,during the war years the source was called upon to supply unexpectedly large quantities to Bihar and small quantities to Bengal.,0.8
government,regulates,production of salt in pans,1,"(4) The production of salt in pans, utilising the brine from wells, should be undertaken under direct ; Government management on a large scale.",0.8
sambhar,administers,washing experiment,1,As washing experiment with Sambhar salt has shown the possibilities of bringing about an improvement in the quality...,0.8
the salt works,administers,the general revenues of the central government,1,50 per cent of the profits that may accrue should be paid to the General Revenues of the Central Government and 50 per cent towards building a Reserve Fund to be utilised for future expansion and modifications of the works.,0.8
jhanjah,extracts_from,salt,1,He was joined by other Kharwals and it was in this manner that the present community of about 200 households of Kharwals came to occupy the town of Pachbadra* Several of these families claim descent from the original founder Jhanjah KharwaL For some time the original settlers collected spontaneous salt from the hollows only. Later on they discovered that brine springs existed not far from the surface and began to dig pits and collected salt from there*,0.8
pachbadra salt source,supplies,salt,1,Out of the total salt manufactured one-fourth was taken by the State,0.8
brine,supplies,calcium sulphate,1,the brine does not get a chance to deposit its calcium sulphate content in the sub-soil before entering the pit.,0.8
kharwals,regulates,storage of salt,1,"The Kharwals, the manufacturers, are also responsible for storage of salt.",0.9
pachbadra salt,supplies,brine,1,"Quality depend also on good supply of brine, which, in turn', depends on rainfall",0.8
pachbadra salt,trades_with,markets,1,This placed Pachbadra on an equal footing with Sambhar.,0.85
salt department,governs,permit system,1,"The permit system from May, 1941 with the object of stopping over-indenting and minimising the w’-ork in the treasuries and offices of the Salt Department...",0.8
pachbadra,supplies,salt,1,is now despatched direct on the indents of the nominees or their agents,0.9
salt experts committee,governs,production at pachbadra,1,They were of the view that the production at Pachbadra should be developed.,0.9
didwana salt,supplies,paper mills,1,"During the last 30 years about 30 lakh maunds of sodium sulphate have been excavated and supplied to paper mills, etc.",0.8
didwana salt,supplies,textile industry,1,Sodium sulphate is also used for making water-glass and in the dyeing and the textile industry.,0.8
didwana salt,supplies,glass manufacture,1,Sodium sulphate is used in large quantities in the manufacture of glass and kraft paper.,0.8
kuchaman road (nawa),connects_to,didwana salt,1,Formerly the nearest railway station to Didwanawas Kuchaman Road (Nawa) at a distance of 40 miles from it.,0.8
mar war balia station,connects_to,didwana salt,1,Now-a-days this salt is distributed from Mar war Balia station.,0.8
badagara salt,trades_with,"mewar, marwar, and malwa",1,"This salt, in addition to meeting the local requirements of the adjacent territories, was known to have obtained markets in the far off places like Mewar, Marwar and Malwa.",0.8
kuda salt works (nimaksar),administers,salt production,1,When the Jhala Chief-tains retired to Halvad they set up a Salt Works at Kuda; this Salt Works (Nimaksar) is specially mentioned in all the grants of the time and is confirmed to Jaswantsingji by the Imperial grant of the 24th year of Aurang-zeb’s reign.,0.9
government of india,administers,excise policy towards salt production and distribution,1,the Government of India and the Bombay Government orientated an entirely new Excise policy towards the production and distribution of salt,0.9
frontier preventive line,regulates,salt,1,"all salt not duly covered by a permit, which was carried across this Frontier Line by a route other than prescribed by the Governor-in-Council for the purpose, was cleared as contraband salt under the Bombay Act VII of 1873",0.9
government of india,regulates,salt production and disposal,1,The more important provisions of this Agreement governed — (a) the production and disposal of salt produced...,0.9
government,regulates,production and disposal of baragara salt at kuda,1,"Certain rules, were framed soon after to regulate the production of Baragara salt at Kuda and, its disposal for local use for alimentary and industrial purposes and for export by sea to places outside India and to Calcutta and Rangoon.",0.9
state,governs,salt industry in kathiawar,1,The State was to take all necessary precautions to prevent leakage of salt both from their works and reserve heaps.,0.9
government,licenses,dhrangadhra salt,1,"That Government agreed to Dhrangadhra, increasing the output of salt...",0.9
dhrangadhra chemical works,supplies,government,1,Out of this production the Dhrangadhra Chemical Works consumed about 7 lakh maunds and a quantity ranging from 3 to 6*5 lakli maunds was purchased by Government.,0.8
saurashtra state,administers,"sir george lloyd salt works, nimaknagar",1,"The Central Government took over the Salt Administration in Saurashtra State with effect from 1st April 1950 from which day the Central Excise and Salt Act, 1944 was made applicable to the State.",0.9
dhrangadhra salt merchants' association,supplies,salt,1,"The Saurashtra Government was to sell salt surplus to their own requirements of the Chemical Works to certain merchants, of Dhrangadhra who had formed themselves into 'The : Dhrangadhra Salt Merchants' Association'",0.8
railway board,supplies,wagons,1,The Ministry of Railways (Railway Board) undertook responsibility for the supply of wagons for this movement under 'Preferential Traffic'.,0.85
dhrangadhra zone,supplies,salt,1,"The Dhrangadhra zone under the Zonal scheme consists of Kuda, Jesda, Maliya, Vanasar, Haivad and other inland licensed salt works in Saurashtra.",0.9
dhrangadhra zone,supplies,"bombay, madhya pradesh, uttar pradesh, madhya bharat, saurashtra, rajasthan, south and north bihar and nepal",1,"The Dhrangadhra zone supplies salt to Bombay, Madhya Pradesh, Uttar Pradesh, Madhya Bharat, Saurashtra, Rajasthan, South and North Bihar and Nepal.",0.95
saurashtra government,negotiates_with,the company,1,The company is negotiating with the Saurashtra Government regarding the reduction of the royalty from Re. 1-O-2 per person on sale of salt for human consumption outside Saurashtra.,0.8
the company,transports_via,dhrangadhra railway station,1,"Salt is transported in metre-gauge trucks taken on loan from the railways. During this haulage, the surplus stock is stored along the Kuda main line and sidings which are at a distance of about 2 miles from the main works.",0.8
government,regulates,salt trade,1,"Prevention of smuggling of salt from foreign territories, by strengthening of the establishment on the Northern and Portuguese Frontiers...",0.9
british government,regulates,manufacture of salt and trade in salt,1,"The British Government considered it necessary to enter into engagements with the various maritime and inland States in Kathiawar and Kutch, and in the year 1883 agreements were made with all these States for the regulation of the manufacture of, and trade in, salt.",0.8
kathiawar,controls,salt production,1,"That the production of salt in his State, as hitherto carried on, will continue...",0.9
my administration,administers,conditions by all classes of my subjects,1,That his administration will be responsible for the observance of the above conditions by all -dasses :pf his subjects.,0.9
government of baroda,regulates,manufacture of salt,1,The Government of Baroda will exercise an efficient control over the manufacture of salt and the collection of natural salt within its possessions in Kathiawar.,0.9
government of baroda,regulates,export of salt from kathiawar to foreign ports outside india,1,"The Government of Baroda will so regulate the export of salt from its possessions in Kathiawar to foreign ports outside India, and will place such export under such safeguards and checks as to prevent any salt so exported from finding its way into any part of British India or of any Native Indian State or of any foreign European Settlement in India.",0.9
government of baroda,regulates,"export of salt from kathiawar to ports in british india, native indian states, or foreign european settlements in india",1,"No vessel bound from the possessions of the Government of Baroda in Kathiawar to any port situated in British India, or a Native Indian State or any foreign European Settlement in India, will be permitted to carry salt as sole cargo or as part of its cargo.",0.9
government of baroda,regulates,vessel carrying salt for export from kathiawar to foreign ports outside india,1,"The Government of Baroda will bind the owner or captain of any vessel containing salt for export from its possessions in Kathiawar to any foreign port outside India, to touch on the voyage any port in British India, or a Native Indian State, or any foreign European Settlement in India.",0.9
government of baroda,regulates,fishing-boats belonging to the possessions of the baroda government in kathiawar,1,"Fishing-boats belonging to the possessions of the Baroda Government in Kathiawar may ship, when leaving a place in the said possessions, a quantity of salt not exceeding twenty-five Indian maunds to be used for bond fide fish-curing purposes.",0.8
state,regulates,salt export to bengal/burma,1,"Export of salt to Bengal/Burma in vessels of less than 1,000 tons gross and over 300 tons burden.",0.8
collector of customs,administers,port of import,1,"The intimation sent to the Collector of Customs should be endorsed with or accompanied by a certificate signed by some suitable official designated by the Darbar in this behalf, stating the name and place of the salt works at which the salt was produced.",0.8
collector of salt revenue,regulates,salt export to bengal/burma,1,"The Collector of Customs of the port of import in Bengal/Burma will notify the Collector of Salt Revenue, Bombay of the outturn of the salt giving the following details: —",0.8
india,depends_on,salt industry,1,The Indian Taxation Enquiry Committee had stressed the extreme importance of a well developed salt industry in India for her economic advance...,0.8
government of india,regulates,salt exports,1,"All the old restrictions imposed on the export of salt by sea to other Indian ports were withdrawn by the Central Government in 1949 and suitable amendments were made in the relevant section of the Central Excise and Salt Act, 1944, governing the export by sea of excisable commodities.",0.8
littoral,connects_to,sea,1,"The littoral is the most favourable site on account of high winds, good tidal rise, comparatively high temperatures, good density and purity of sea brine...",0.8
brine,depends_on,evaporation,1,the evaporation of brine.,0.9
crystallisation operations,regulates,collection of salt,1,"The crystallisation operations in the different pans in a works are regulated in such a way that the collection of salt, once it is started, can be continued throughout the production period...",0.9
movable stackers,supplies,salt,1,These heaps are usually made with the help of movable stackers which I receive salt direct from the tipping wagons.,0.8
indian salt manufacturers' association,trades_with,japan,1,Exports to Japan since 1951 are given below: —,0.9
indian salt manufacturers' association,supplies,calcutta,1,"The export to Calcutta is mostly done in chartered steamers and the following are the present charter party terms agreed to between the Indian Salt Manufacturers' Association, Bombay, on behalf of the marine salt works, and the Indian Coastal Conference, which consists of about 14 members.",0.7
saurashtra and kutch ports and okha,connects_to,calcutta,1,Salt on Charter Party: — From Saurashtra and Kutch Ports and Okha to Calcutta.,0.6
indian salt manufacturers' association,regulates,charterers and/or su-fa-charters,1,"Bills of lading will have to be taken away by the Charterers and/or the .sufa-'charte.rers, etc. as the case may be, within say, 72 hours of the ship...",0.5
kandla,trades_with,/location/country,1,"From the 1st January, 53, however, salt produced at Kandla has been permitted to move under /preferential traffic’ at the instance of the Railway Board...",0.8
indian tariff board,administers,enquiry by the indian tariff board in 1929-30,1,This resulted in an enquiry by the Indian Tariff Board in 1929-30.,0.8
saurashtra government,administers,salt works,1,all the salt works came under the administrative control of the Saurashtra Government.,0.9
the technique of salt manufacture,regulates,reservoirs and crystallisers,1,"But, in some cases, the areas are not properly regulated as between reservoirs and ^ crystallisers...",0.8
kathiawar and kutch,administers,salt works,1,"Kathiawar and Kutch w’orks alone wfith (a) extension of the manufacturing season, (b) expansion of some of the salt works...",0.8
"tata chemicals, ltd",monopolizes,"raw or natural salt, brine, etc.",1,"Sole and exclusive right for a period of 99 years to recover and use raw or natural salt, brine, etc. required for the manufacture of salt and marine minerals...",0.9
mithapur,regulates,salt production and removal,1,The manufacture operations and the utilisation of brine therefore are regulated in such a way that the production and removal of salt can be continued throughout the span of a year...,0.8
government of india,regulates,export of salt by sea from navlakhi and by rail to british india,1,Export of salt by sea from Navlakhi and by rail to British India was to be made in accordance with the rules and regulations that may be enforced by the Government of India in this behalf*,0.9
"the saurashtra salt manufacturing co., porbandar",monopolizes,manufacture salt in porbandar state,1,The works were granted a monopoly to manufacture salt for 30 years in the State and were made liable to abide by the rules and regulations as affecting the production and distribution of salt as may be framed by the Government of India from time to time.,0.95
united salt works and industries ltd,controls,salt works,1,"Situation— These salt works are situated near Porbandar Port and on the other side of the creek and occupy an area of about 1,400 acres* ... The works have constructed two sets of automatic gates near the Port and take in sufficient brine for their works during high tides*",0.9
united salt works and industries ltd,supplies,brine,1,They have constructed two sets of automatic gates near the Port and take in sufficient brine for their works during high tides*,0.85
united salt works and industries ltd,regulates,bitterns channels,1,Bitterns channels have been constructed to discharge the bitterns into the sea.,0.8
works,governs,rules and regulations laid down by the government of india,1,"They agreed that the construction of the works and the disposal of salt were subject to the rules and regulations, laid down by the Government of India from time to time.",0.9
works,supplies,water and electric supply system,1,"The works are maintaining their own water and electric supply system,",0.8
works,regulates,meteorological data,1,Regular records are being maintained of the meteorological data...,0.7
bedi port,connects_to,gulf of kutch,1,The Bedi Port railway siding is quite adjacent to the works and they can easily despatch salt by rail.,0.9
"halar salt and chemical works, jamnagar",monopolizes,salt production,1,"The monopoly Agreement with the Digvijaysinhji Salt Works Ltd., Jamnagar having been rescinded by the Jam Saheb of Nawanagar in the year 1947...",0.8
maliya salt works,controls,salt production,1,"The Maliya Salt Works, Maliya, came into being in 1943 ... granted a monopoly to the works for a period of five years from November, 1943 to manufacture, collect and sell salt...",0.9
maliya state,supplies,royal family,1,The State was to be supplied with free salt for the use of the Royal Family.,0.8
maliya salt works,trades_with,british india,1,"Its transport to British India was not allowed till about 1947, when its booking was allowed to Bengal and Bihar.",0.85
maliya state,administers,salt administration,1,Soon after Maliya State was integrated in the United States of Saurashtra and the administration of salt came under their control...,0.9
works (maliya salt works),supplies,salt,1,The works have since entered into a fresh lease agreement with that Government.,0.8
dhrangadhra zone,connects_to,maliya salt works,1,From 1949 they have been included in the Dhrangadhra zone of supply...,0.7
government (united states of saurashtra),licenses,works (maliya salt works),1,...the administration of salt came under their control...,0.8
khakhrechi station,connects_to,maliya salt works,1,"The nearest rail head then being at Khakhrechi on the Narrow Gauge, the salt produced there had to be transported by road...",0.7
maliya station,connects_to,works (maliya salt works),1,"...in 1950, Maliya station which is at a distance of about five miles was opened for goods traffic...",0.8
gulaba dhora,connects_to,works (maliya salt works),1,"...in 1949, they constructed another small salt works near village Gulaba Dhora at a distance of about three miles...",0.7
partners,disputes,works (maliya salt works),1,As some dispute arose between the partners of this works...,0.7
shri ladhabhai odhavji,administers,salt works,1,These works have been started as 'a'... and these lands have been leased on standard terms...,0.8
government of india,licenses,this site,1,After the Government of India had promised to license this site...,0.8
m/s. of bombay,licenses,"bharat salt and chemical industries, ltd., mundra",1,"This party has since started the Bharat Salt and Chemical Industries, Ltd., Mundra as a private limited concern to run these salt works.",0.9
the prabhat salt works,administers,salt works,1,The land for these salt works was leased by the Saurashtra Government in 1951 and covers an area of about 364 acres.,0.8
kings of cholas,governs,salt factories and surrounding territory,1,The inscriptions show that in those remote periods the salt factories as well as the surrounding territory were under the kings of the time of Cholas.,0.9
government,licenses,messrs manickom naidu company of madras,1,A licence was also granted this year for the manufacture of salt to Messrs Manickom Naidu Company of Madras and they began operations at Rajakkamangalam.,0.8
government,supplies,salt manufacturers,1,"Under this system, called the Modified Excise System, Government incurred no expenditure except on preventive staff.",0.7
government,regulates,salt factories,1,With this end in view an enactment was made — Regulation II of 1912-13 which granted power to Government to supervise the working of the factories from start to finish.,0.9
lease-deed,licenses,salt manufacture,1,After the execution of the lease-deed by the present licensee (13-12-1948) twenty acres of land were placed at his disposal for the manufacture of salt in the first stage.,0.9
suchindram river,connects_to,the sea,1,"at the mouth of the Suchindram river (Pazhayar) and when the Mana'kudy bar was opened, the sea water ^vas allowed to get into it.",0.85
government,licenses,private individuals,1,"About this time, Government transferred its right of share in the Govern-ment salt pans by sale in favour of private individuals.",0.8
government lands,administers,salt manufacture,1,(a) Where salt is manufactured on Government lands under specific agreements.,0.9
private lands,administers,salt manufacture,1,(b) Where salt is manufactured on private lands under specific agreements.,0.8
the manakudy lake,supplies,saline water,1,"Formerly, the saline water of the lake was mainly used for manufacture of salt.",0.9
the manufacturers,negotiates_with,major licensees,1,...major licensees have sunk tube wells.,0.8
thamarakularn old allom,controls,salterns,1,"After studying the conditions in the factories at Thamarakularn Old Allom, Rajakkamangalam Old Allom etc. he found that these salterns which produced large quantities had very much deteriorated and mostly abandoned and looked like a swamp flooded with fresh water.",0.8
rajakkamangalam old allom,controls,salterns,1,"After studying the conditions in the factories at Thamarakularn Old Allom, Rajakkamangalam Old Allom etc. he found that these salterns which produced large quantities had very much deteriorated and mostly abandoned and looked like a swamp flooded with fresh water.",0.8
state government,governs,industrial chemist,1,The Industrial Chemist attached to the State Government was commissioned to study the conditions of old factories with a view to increasing the output and improving the quality.,0.9
tube wells,supplies,brine,1,Some factories are in favour of using tube well brine and supplementing it by sea brine.,0.7
the salt department,negotiates_with,tata oil company,1,engaging the attention of the Salt Department.,0.8
manakudy lake,depends_on,sea brine,1,having a floating pipe system as in the case of Tata Oil Company at Ernakulam is preferable and this is engaging the attention of the Salt Department.,0.8
"thamarakulam old allom, extension i and ii, and puthallom",supplies,brine,1,"so that brine supply scarcity keenly felt in the Thamarakulam Old Allom, Extension I and II and Puthallom can be easily solved.",0.8
the salt department,controls,the conveyance of sea brine to the factory's outer reservoir,1,The Salt Department has suggested a pipeline from Muttam rocky portion in the sea to a distance of 2 miles to convey sea brine to the factory's outer reservoir...,0.9
travancore state research department,administers,model salt factory at thattarippuodai allom,1,As a result of experiments conducted at the laboratory and field for a period of over 7 years under the Travancore State Research Department...,0.9
travancore government,governs,model salt factory at thattarippuodai allom,1,The Travancore Government were running the Model Salt Factory at the State expense with the Director of Research as the administrative head.,0.9
travancore salt factories,supplies,salt,1,"At present, the manufacturers are allowed to scrape as much salt as possible and increase the output.",0.8
government agencies,trades_with,salt,1,The supply of the salt required for consumption in the State was obtained partly from factories and partly by import and sold through Government agencies excepting at Munambam salt depot where a contractor was engaged for transport and supply of salt.,0.8
madras,supplies,tuticorin factory,1,"From 1865 Madras also supplied to this State from Tuticorin factory whenever needed at a nominal duty of 3 pies per maund, under the terms of treaty.",0.8
state government,licenses,licensees,1,"To help the licensees, the State Government passed a Rule enabling the licensees to remove their salt under bond from the factory to Government depots at Trivandrum, Quilon and Alleppy.",0.8
state government,governs,taluqs in north travancore,1,The supply of Bombay salt was gradually reduced from 1934 to 1936 and in 1937 the import of Bombay salt was stopped.,0.8
state government,regulates,sale of salt,1,Sale of salt in factories and depots was conducted under quota system on the basis of production and consumption for a period of 3 years and it continued till 5-7-1944 when it was temporarily suspended.,0.8
state government,taxes,licensees,1,"Travancore manufacturers were given protection by the State Government up to 1950 by prohibiting the import of salt into the State, because the manufacturers were to deliver State Government 31- lakh maunds of salt out of an average production of 17-| to 18 lakh of maunds i. l/5th of the salt produced.",0.8
travancore,regulates,salt import,1,Import of salt to Travancore and Cochin were prohibited with reference to section 34 of the Travancore Salt Act and Rule 80 of Travanacore Salt Rules...,0.8
research department,licenses,licensees,1,The cost of the special staff was recovered from them.,0.8
messrs. india cement ltd.,trades_with,gypsum,1,"Messrs. India Cement Ltd. Thalaiyuthu (Tinnevelly) and the Travancore Cements, Kottayam were interested in the use of this gypsum ill their cement factories...",0.8
salt administration in travancore,controls,salt factories,1,"Later on the Salt Administration in Travancore was merged in the Excise department with Excise Commissioner as the Head of Salt Administration and all the salt factories were placed under an Assistant Excise Commissioner, Nagercoil.",0.9
salt administration in travancore,regulates,"manufacture, storage, and issue of salt",1,"Inspectors and Sub-Inspectors was confined to manufacture, storage and issue of salt.",0.8
central government,supplies,salt,1,"The Central Government took over the responsibility of manufacture, supply and distribution of salt and gave an undertaking to the State Government that they would not interfere with the arrangements the State Government had made with the licensees as regards payment of rent and royalty in cash or in kind.",0.8
british government,controls,salt works of jhajjar and faitukh-iiagar,1,"After the Mutiny in 1857, when the British Government annexed the lands of Jhajjar and Faithulk-iigar, the salt works which belonged to the Nawab came under their control.",0.9
british government,supplies,salt to the north western provinces,1,For many years this was one of the principal sources which supplied salt to the North Western Provinces.,0.8
government,regulates,excise duty and cess on salt,1,"With the British occupation, the produce of the works gradually increased. The salt belonged to the manufacturers, who arranged its sale direct. Government was only concerned with excise duty and cess.",0.7
nuh salt works,licenses,salt manufacturing,1,The manufacturers were given licences.,0.8
officer in charge of a cluster of works,regulates,salt extraction and storage,1,"Permission was not given, unless the salt was of saleable quality.",0.7
sultanpur salt,trades_with,markets,1,"Before the Rajputana and Punjab sources were opened by Railway, this salt produced close to the populous districts of the North-Western Provinces and the Punjab had a great sale.",0.9
sultanpur salt works,controls,salt manufacturing process,1,The work of the staff in those days was mostly preventive; they had very little to do with manufacture.,0.8
rajasthan government,licenses,salt manufacturers,1,"The manufacturers who were given licenses in 1949 by the Rajasthan Government, carried on the manufacturing operations for four months only (March to June).",0.9
hyderabad state,administers,salt manufacturing,1,Salt for domestic use as well as for tanning industry was manufactured from times immemorial in several places in the Hyderabad State...,0.9
salt makers (uppars),extracts_from,brine or saline earth,1,...from which salt was made from brine or saline earth by salt makers called 'Uppars' in their 'Nimak Moles' salt work units.,0.9
the east india company,monopolizes,salt manufacture in bengal,1,"The East India Company developed a system of monopoly, which survived with modifications till 1862.",0.8
the indian government,regulates,salt imports and manufacturing,1,"Government abandoned monopoly in 1863, leaving manufacture subject to Excise duty only until 1898 when the local manufacture was prohibited altogether.",0.8
the indian government,taxes,salt imports and manufacturing,1,Fixed rate of duty introduced under orders of 1837 was applied to imported as well as to the locally manufactured salt.,0.75
germany,supplies,salt,1,"About 1935 in Bengal salt was imported only from Germany (Hamburg), Aden and Indian sources.",0.8
spain,supplies,salt,1,"Spanish Salt was white salt of good appearance, was obtained by solar evaporation of sea brine...",0.8
italy,supplies,salt,1,Imports of foreign salt into other provinces were negligible.,0.6
port said,supplies,salt,1,Port Said salt was obtained by solar evaporation and imported both in the natural state and crushed form...,0.7
aden,trades_with,india,1,Aden salt was manufactured from sea water by solar evaporation and imported either in Karkutch or fine form; it headed the list of salts imported into Bengal in 1914-15 and in 1917-18 was second on the list both in Bengal and Burma.,0.8
liverpool salt,supplies,bengal,1,"About 75 per cent share of the total imports from 1873 to 1903, Aden about 11 per cent and the rest of the countries about 14 per cent only.",0.8
combines,controls,market,1,Three or four times a Combine was formed with the ostensible object of stabilizing prices but in reality to retain market against new importers.,0.85
british government,taxes,salt,1,"By the terms of the agreement, salt on which duty had been levied by the British Government was the only salt which might be consumed in the State.",0.8
the gaekwat of baroda,regulates,salt arrangements in his kathiawar possessions,1,putting the salt arrangements in his Kathiawar possessions on almost the same footing as obtained at that time in other States.,0.8
chiefs of patdi and jhinjuvada,supplies,salt,1,"Salt was issued free of duty in limited quantities for domestic consumption to the States of Radhanpur, Patdi and Jhinjuvada...",0.9
government of india,administers,salt sources in rajasthan,1,a schedule of payments to the Rajasthan Government in respect of the Salt sources taken on lease was drawn up by the Government of India,0.9
government of india,governs,union and non-union agencies,1,in regard to the manufacture and distribution of salt by Union and non-Union agencies,0.8
salt,controls,colour,1,the colour can be controlled to a large extent by not disturbing the bed of the crystallisers at the time of scraping and by washing the crystals either in the pans or subsequently in a mechanical washery.,0.9
the trade,controls,the quality of salt,1,"the trade to call for a light flaky salt, yielding a comparatively large bulk for weight which not only gives' the consumer less real salt for his money but also encourages faulty methods of manufacture and leads to the production of a comparatively impure salt.",0.8
central board of revenue,regulates,salt quality,1,Salt should be clean and white in appearance.,0.8
government of india,regulates,salt quality,1,The Salt Department was further asked to achieve this standard in three years.,0.8
government,regulates,salt standard for human consumption,1,it was decided by the Government by issue of a Press Note dated 19-12-1953 to maintain the minimum standard for salt for human consumption at 94%,0.9
salt department,regulates,maintenance of records,1,Routine records of densities and analysis should be maintained in each factory and the Salt Department should examine how far and to what extent the maintenance of these records can be made obligatory...,0.9
salt department,administers,laboratories,1,"As the Salt Department had no departmental laboratories in the Madras Region, samples of salt were used to be sent for analysis...",0.8
government,regulates,quality control,1,Government needed more test laboratories where samples of salt could be analysed early so that salt found below the standard could be banned for sale...,0.7
government,governs,model salt farm,1,In Bombay a Model Salt Farm is being worked by Government since 1950 to demonstrate the correct methods of manufacturing salt to private manufacturers.,1.0
saurashtra inland salt,supplies,cattle,1,This salt is issued for the cattle and is also used by the local and adjoining area populace...,0.9
indian railways,regulates,salt traffic by rail under zonal scheme,1,Since 1949 salt traffic by rail is being regulated under the Zonal Scheme.,0.9
punjab,supplies,35*6 and 1*2 lakh maunds per annum or 10*3 and 11 lbs.,1,The overall requirements of the Punjab during the pre-partition days was 35*6 and 1*2 lakh maunds per annum or 10*3 and 11 lbs.,0.8
kharaghoda salt works,supplies,about 8 lakh maunds of salt,1,about 8 lakh maunds was supplied by the Kharaghoda salt works,0.9
madras,supplies,salt,1,"The State of Travancore got its supplies of salt (a) from a few small local factories, (b) by importation from Bombay by sea and (c) since 1913 by importation from Madras.",0.8
mysore,supplies,15*49 lakh maunds per annum,1,The requirement of the State is 15*49 lakh maunds per annum.,0.9
mysore,trades_with,madras and bombay,1,"Besides supplies from the sources direct, large quantities of salt go to the State for consumption from the adjoining districts of Madras and Bombay.",0.8
hyderabad,supplies,31*85 lakh maunds per annum,1,The requirement of the State is 31*85 lakh maunds per annum.,0.9
"assam, manipur and tripura",supplies,17*52 lakh maunds per annum,1,The requirement of these States is 17*52 lakh maunds per annum.,0.9
"assam, manipur and tripura",trades_with,calcutta,1,These States get their supplies mainly from Calcutta.,0.8
sambhar lake,connects_to,rail,1,"Sambhar Lake was connected by rail in 1876, when salt began to be despatched by rail.",0.9
government,licenses,traders,1,"Trade was thrown open to all persons who chose to indent for salt on payment of duty, cost price etc. in any Government Treasury.",0.8
government,regulates,"kharaghoda salt indenting rules, 1942",1,"The Government had, therefore, to issue ‘‘Kharaghoda Salt Indenting Rules, 1942”.",0.8
government,regulates,distribution of salt,1,The Government of -India in order to regulate distribution of salt from the Government' sources issued- the following -Order in 1942 under the Defence of India Rules:,0.9
the collector,regulates,the issue of salt from a government manufactory,1,"the Collector or any Salt Revenue Officer authorised by him in this behalf, may in issuing salt from a Government manufactory...",0.85
the collector,supplies,salt to nominated persons or bodies,1,...give priority to such extent as he thinks fit to the indents of any person or body of persons or society nominated by a District Officer or by the Administration of an Indian State...,0.8
"the salt merchants' association ltd., sambhar lake",administers,wagons,1,Quota of wagons was then redistributed amongst the ten registered companies formed at Sambhar on the revised strength of the genuine traders in each individual company.,0.8
refugee salt syndicate,supplies,kharaghoda,1,"Supplies from Kharaghoda were also made through dealers registered by the Salt Department under the Kharaghoda Salt Indenting Rules, 1942.",0.8
government of india,governs,system of registration of dealers at sambhar and kharaghoda,1,"The Govern-ment, of - India accepted the recommendation of the Salt Advisory Committee and ordered that with effect from 28-4A950 the system of registration of dealers at Sambhar and Kharaghoda by Government for the purpose of allotment of quota of wagons should be abolished...",0.9
manufacturers,trades_with,retailers,1,a good deal of salt is passed on by the manufacturers to the retailers on a commission basis,0.8
importers or state governments' agents,supplies,consumption areas,1,"some quantities are also despatched to Calcutta by sea wherefrom it is supplied to consuming areas by the importers or the State Governments’ agents, if any",0.8
state governments,governs,salt distribution,1,"The then Ministry of Works, Production and Supply, Government of India in April, 1951 suggested to the State Governments to take over the distribution work direct...",0.9
government,regulates,salt price,1,any measure that would result in increase in the price of salt would be subject to serious public criticism.,0.85
government of india,regulates,"quantity, quality, storage, distribution and prices of salt",1,"to regulate the quantity, quality, storage, distribution and prices of salt.",0.8
