Source,Relation,Target,Weight
the ruler,RULED,at his behest,1
the himalayan court,WAS CENTRAL TO,shoring up the authority of the ruler among his subjects,1
officials,INVOLVED IN THE RUNNING OF THE ADMINISTRATION,the ruler,1
wazeer,MOST IMPORTANT OFFICIAL,in the running of the administration,1
state officials,SHARED THE DUTY OF ADMINISTERING FINANCES,of the states,1
state officials,WAS IN CHARGE OF COLLECTING REVENUE,for the states,1
king,APPOINTED,the wazeer (in some states),1
wazeers,"ASSESSED AND COLLECTED REVENUE, HEARD APPEALS, MAINTAINED PEACE",in their tract,1
wazeers,GAVE A CERTAIN PORTION OF THE REVENUE TO,the king,1
king,ENJOYED HIGH LEVEL OF INDEPENDENCE,from records (in some states),1
states,HAD SMALL ARMIES AND WEAPONS,used against rebellious clans and other states,1
armies,WERE INFERIOR EVEN TO THOSE MAINTAINED BY THEIR NEIGHBOURS,kangra and gurkha kings,1
states,"MAINTAINED SEPARATE ESTABLISHMENTS FOR THE MAINTENANCE OF MUSKET, ARMS, HORSES, AND ELEPHANTS",for pomp and show,1
these lands,BELONGED TO,the royal family,1
officials,CORNERED,large tracts of land,1
mandi,HAD,most of the officials belonging to punjabi khatris,1
punjabi khatris,WERE RESIDENT,for many generations,1
the king,WAS THE VICE-REGENT,of the main deity of the tract,1
bhima kali,HAD SPECIAL LINKS WITH,the royal family,1
the bashahr king,RULED OVER,other gods within the tract,1
raghunath,WAS THE OVERLORD OF,all subservient gods and divinities in kullu,1
the royal god,WAS WORSHIPPED DURING,shivratri festival in mandi,1
states in western himalayas,HAD SIMILAR FESTIVALS,on various occasions,1
the clan deity,WAS THE SOURCE OF POLITICAL AUTHORITY,independent of the hill state,1
hill state power,REMAINED DEPENDENT ON,the clan deity,1
the seat of a clan deity,SHIFTED FROM ONE PLACE TO ANOTHER,due to impermanence,1
the hill state,CLAIMED DOMINATION OVER,no fixed clans or populations,1
those deities,PAY,obedience,1
the state,CONTROL,area,1
the king,RULE,population,1
his patron god,MEDIATE,clan deity,1
the state,DEMAND,revenue and labour,1
the deity,MAKE,demands on the peasantry,1
the rulers of the hill states,BE,personifications of some divinity or its regent on earth,1
pastoral communities,HAVE,different relation to the hill state,1
the pastoralists,CONVERT,cash in the various markets,1
their dues,BE COLLECTED,as part of their general obligation to the state,1
the peasants,CLAIM,harvested fields and grazing commons as their own,1
hill state,APPROPIATE,surplus,1
village or clan deity,EXTRACT,collective resources and labour,1
clan deity,EXTRACT,surplus,1
hill state,REMAIN,weaker,1
ruling class,APPROPRIATE,labour,1
peasant families,SELL,cash crops and pastoral goods,1
traders,BUY,cash crops and pastoral goods,1
this temple,MAINTENANCE,expenses,1
raja's own exchequer at rampoor,CONTAINMENT,"about 40,000 rupees",1
temple,SOURCES_OF_TREASURE,"great occasions such as the birth of an heir, or the marriage of the raja",1
raja's own exchequer at rampoor,EMPTYNESS,usually empty,1
priests,REFUSAL,giving up a single rupee for ordinary expenses,1
bashahr state,ANNUAL_CASH_COLLECTION,"sometimes as little as 17,480 rupees and averaged around 25,000 rupees",1
peasant family,SURPLUS_APPROPRIATION,"goods which were produced through agriculture and pastoral activities, but also various products gathered from the forests and direct labour of the peasants",1
state,SHARE_IN_EVERY_DEPARTMENT_OF_INDUSTRY,every department of industry,1
raja's elephant,CESS_IMPOSED,"maintenance, to which every peasant contributes at the rate of three annas a house",1
raja's magazine,IMPOST_EXISTENCE,furnishing the raja's magazine,1
on special occasions,CONTRIBUTIONS WERE LEVIED ON,the subjects,1
labour begar,WAS AN INTEGRAL PART OF THE DEMAND,on the peasant family by the hill state and the local deity,1
begar,WAS AN ADDITIONAL IMPOST ON,the peasantry,1
british administrators,PERCEIVED BEGAR AS AN INSTITUTION PECULIARLY SUITED FOR CONSCRIPTING LABOUR FROM THE ENTIRE POPULATION,to offset the difficulty of paying for these services from the meagre revenue collections,1
landholders,WERE DIVIDED INTO TWO CLASSES,"viz., 1st, those liable to military service; 2ndly, those liable to menial service",1
classes who cultivate the soil,ARE BOUND TO GIVE UP A PORTION OF THEIR LABOUR AS A CONDITION OF THE TENURE FOR THE EXIGENCIES OF GOVERNMENT,certain classes such as the privileged bramin and rajpoot were always exempt,1
athwara begar,INCLUDED REGULAR DEMANDS OF LABOUR,"portage, manning chaukis (police posts), defending resources, providing labour, food and other requirements for officials, and service in the household",1
british records,CLASSIFICATION,military service and menial service,1
documents,DISTINCTION,labour which is demanded on a regular basis and that which is demanded on specific occasions like royal functions and official tours,1
british records,CLASSIFICATION,"first classification was made at the beginning of british rule, while the second classification comes to us from the twentieth century",1
difference,CAUSE,different river valleys from which this information was gathered,1
phsa,OP.CIT,"pg. 171; begar in the punjab hill states, 1944, bundle 19, no. 451, ‘policy regarding begar in hill states/estates’, pp.",1
people interviewed for this research,CLAIM,the labour and time given to their deities should not be included in the political economy of the western himalayas,1
british records,DEFINITION,hela begar,1
british documents,INCONSISTENCY,definition of begar,1
concept,RECONSTRUCTION,"notion of surplus demand, which encompasses a continuum of labour, its products and the cash value realised from both",1
category,SUBSTANTIATION,begar—an imposition by the hill state—because it was done willingly,1
becoming india,UNDERSTANDING,"oral sources like songs, legends and mythologies",1
demands for labour,DISTINGUISH,demands for goods and money,1
surplus in the form of labour,STORED,long periods,1
bushahr state,CASE IN POINT,physical limit to the amount of perishable goods,1
royal family and its retainers,CONSUMED,perishable goods,1
ruler,USED,"cash and durables like wool, cloth, iron implements",1
most of the ruling families,WORE,clothes made of silk and cotton,1
bheema-kallee,ACCUMULATION,"40,000 rupees",1
western himalayas,CONSTRAINTS,"specialy in the larger hill states like bussahir, kullu, mandi and chamba",1
temples,CONSUMED,larger part of the perishable surplus,1
deities,SAVE,larger part of their cash income and collections of durable commodities,1
labour services,USED,"portage – carrying goods, persons and the revenue from village to village and valley to valley",1
the raja,RULED_AS,his family god,1
the king,DOMINATE,the political power of the clans and their deities,1
mandi,PAY_HOMAGE_TO,madho rao,1
bhima kali,RETAIN_AUTONOMY_VIS_A_VIS,the king,1
vishnu,BE_AN_INCARNATION_OF,madho rao,1
shiva,BE_THE_MOST_POPULAR_DIVINITY_OF,mandi,1
"all the gods, goddesses and other divinities of mandi",COME_TO_PAY_HOMAGE_TO,madho rao,1
the ruler of bashahr,BE_INDEPENDENT_OF,bhima kali of sarahan,1
the ruler of keonthal state,BE_THE_GOD_INCARNATE_BUT_NOT_DIVINE_PATRIARCH_OF_ALL_THE_PEOPLE_RESIDING_WITHIN_THE_STATE,none,1
these mountain communities,TRADE,cash,1
nomadic pastoralists and agricultural villages,CONVERT,available resources into cash,1
hill state,REQUIRE,cash dues,1
these societies,MONEY,monetisation,1
the economy of the region,REMAIN,incapable of moving forward from barter relations,1
trade,INPUT,cash in the region,1
coins,EXCHANGE,certain commodities at prices fixed without relation to supply or demand,1
the seller,USE,to pay the state in cash dues wherever required,1
each good,PRODUCE,to meet its use value,1
wool of the pastoralists,EXCHANGE,cash instead of cloth,1
the king,USE,cloth and other items of his want,1
cash flow,CIRCULATE,in the trade fairs and markets,1
the same goods,WERE TRADED FOR,cash,1
goods,COULD NOT BE PROCURED,much larger amounts of cash,1
supplies,HAS BEEN THE GENERAL REFRAIN,in all british travelogues and other official documents,1
corn,WAS REQUIRED OF,the troops,1
villagers,DECLARED THEIR INABILITY TO SUPPLY,the corn,1
the himalayas,"HAD NO COMMODITY PRODUCTION, HOWEVER RUDIMENTARY",and no exchange value on the goods that were produced,1
goods,WERE EXCHANGED ON THE BASIS OF THEIR USE VALUE,and the little amounts of cash that were introduced,1
cash,FUNCTIONED RATHER AS TOKENS FOR THE FACILITATION OF BARTER,that was well established,1
the king and the deity,DID NOT EXIST,conditions for transcending the contradiction between the king and the deity,1
the rulers of the hill states,DECIDED IN FAVOUR,the establishment of the british rule,1
natural resources like forests,WERE CONVERTED INTO INSTANTLY CASHABLE COMMODITIES UNDER THE SOLE OWNERSHIP OF THE HILL STATE,found in abundance in their houses,1
mohar singh,NOTICE,nature of identity,1
emerson,AUTHOR,typescript of unpublished anthropological study of mandi and bushahr,1
"oriental and india office collection, british library",REPOSITORY,mss.eur 0321,1
thok,EXIST,garhwal hills,1
aal,EXIST,chakrata and sirmaur hills,1
khund,EXIST,simla hills,1
clans of the western himalayas,ORGANISED BY,lineage and territory,1
hill child,BORN WITH,"identity of family, village and lineage",1
majumdar,AUTHOR,himalayan polyandry,1
eldest living male,HEAD,family,1
seana,REPRESENT,family,1
khumri,ASSEMBLY,family representatives within the community,1
himalayan family,EXISTENCE,western himalayas,1
polygynandrous family,DESCRIBED BY,descendant of lambardar of shillai village,1
pandavas',HERITAGE,"june, 1996",1
parmar,AUTHOR,polyandry in the himalayas,1
d.n.majumdar,OP.,berreman,1
joshi,AUTHOR,tribal people of the himalayas: a study of the khasas,1
book,RESULT OF WORK DONE FOR,political economy of the western himalayas,1
families,CATEGORISED BY,ratio of husbands to wives and nature of sharing,1
families,"FOLLOW SAME RULES OF SOCIAL CONDUCT, INTERACTIONS, AND INTER-MARRY","polyandrous, polygynandrous, monogamous, and bigamous",1
institution of marriage,IMPORTANT TO UNDERSTAND,methodologically avoiding prior reference to monogamous relations as normative,1
fraser,WROTE ABOUT,unique form of the himalayan family,1
himalayan marriage,INCLUDED,"cohabitation of brothers with same wife, purchase of wife from her parents, and degree of doctor of law",1
khash family law,FOUND IN,mountains of the united provinces in the 1920s,1
gazetteer of the kangra district,CONTAINS NOTE ON HIMALAYAN MARRIAGE,"1897, lahore, 1899, [reprinted delhi, 1994], pg.",1
polyandry,RECOGNIZED INSTITUTION AND VERY GENERAL,himachal pradesh,1
forms of polyandry,APART FROM MONOGAMY AND BIGAMY WHICH ARE PREVALENT IN HIMACHAL PRADESH,pp.,1
this later became,EXPLANATION,one of the most popular explanations,1
later works,DISCUSS,the nature of himalayan marriage,1
parmar,WRITE,polyandry in the himalayas,1
parmar,LEAD,praja mandal movement,1
parmar,BECOME,first chief minister of himachal pradesh,1
majumdar,WRITE,himalayan polyandry,1
joshi,GIVE,importance to the argument about sex ratio determining the origin of polyandry,1
arguments,BASED,on the cultural and religious peculiarities of the local population,1
the first thing,NEED,to be emphasised about himalayan marriage,1
himalayan marriage,BE,secular contract,1
marriage in the western himalayas,REQUIRE,social sanction of the community,1
ganesh puja,FORM_OF,local marriage customs,1
bride price,REQUIREMENT_FOR,proper marriage,1
jacob,EXAMPLE_OF,labour for the family of the bride,1
husband(s),GUARANTEED_PROTECTION_FROM,family law of the himalayan people,1
marriage,CONTRACT_TYPE,secular contract,1
divorce,SOCIALLY_ALLOWED,by mutual consent or unilateral action,1
husband(s),DEMAND_COMPENSATION_FROM,new family of the woman,1
mitakshara code,DEPENDENT_VALIDITY_ON,following the code,1
paternity,CANNOT BE,as strictly determined,1
the general rule,WAS THAT,children belonged to the husband(s),1
the principle,FOLLOWED IS EMBODIED IN,the rule that,1
a man,IS ENTITLED TO,the produce,1
chastity,IS NOT A RELEVANT CONCEPT FOR,any understanding of the marriage form,1
property and membership,WAS BASED ON,the relation of fathers and sons,1
mothers and daughters,WERE OUT OF THE RECKONING FOR,property and membership,1
"resource control, inheritance",PRECEDING FORMS OF,marital residence,1
the sautia-bant form,FOUND IN THE,division of property among the heirs,1
property,WAS DIVIDED EQUALLY BETWEEN,the wives,1
bride price,A SIGNIFICANT PART OF WHICH WAS OFTEN PAID TO,the woman's maternal uncle,1
marriages,BECOME,uncommon,1
levirate,ACCEPTANCE,entire region,1
marriage,DISSOLUTION,reet money,1
husband's brother,SPECIAL RELATION,wife,1
himalayan marriage,DISINTEGRATING,monogamous relations,1
economic conditions,INFLUENCE,orthodox hinduism,1
british courts,ESTABLISHMENT,himalayan people,1
territorial conquest,CAN BE UNDERSTOOD AND EXPLAINED BY,global context of colonialism,1
british capital,NEEDED TO MONOPOLISE TRADE,raw material and captive markets for emergent industries,1
three broad concerns,GOT THE BRITISH INTERESTED IN,region of western himalayas,1
british,HAD LITTLE KNOWLEDGE ABOUT,trans-himalayan tracts,1
british,WANTED MILITARY AND POLITICAL CONTROL OF,entire border with the sikh territories,1
sikhs,EXPANDING THEIR POWER IN THE MOUNTAIN TERRITORIES,east of sutlej,1
sikhs,CONTROL,sutlej valley,1
british,WANT,direct access to trans-himalayan trade,1
gurkhas of nepal,RULE,mountainous areas,1
gurkhas of nepal,EXTEND,from present day darjeeling till the sutlej river,1
british,CURTAIL,power of gurkhas in regions they had conquered,1
british and gurkhas,HAVE,border disputes between them,1
british,DEVELOP,interest in the regions beyond delhi territories,1
british travellers,GO,into himalayan regions,1
gurkhas,ADMINISTRATION,internal administration,1
agricultural production,NATURE,natural resources and physical conditions,1
british,DISCOVERY,european vegetation and climate in the mountains,1
captain fraser,INSTRUCTION,collect information about regions through which he would pass,1
ganges survey of 1808,FORMATION,"comprehensive account of the region's history, economy and ecology",1
fraser’s reports,FOUNDATION,initial policy formulations,1
british government,FINANCING,private merchants moorcroft and trebeck,1
moorcroft and trebeck,PROCEEDING,trade routes in and through the himalayas,1
east india company,PUBLISHING,excerpts of reports as travelogue,1
british india,SECURING,‘natural’ border and strategic concerns,1
anglo-gurkha war,CONCLUSION,extension of conquests into mountainous territory,1
william moorcroft,INITIATED,himalayan quests,1
mansarovar lake,IDENTIFIED AS,possible source of indus and sutlej rivers,1
trans-himalayan regions,PROVIDED INFORMATION ABOUT,"towns, markets, administrative centres, halting stages, availability of supplies, commodities traded and chinese authority",1
british,INTENSIFIED EFFORTS TO FIND,other routes for communication and trade with these regions,1
sutlej valley,ROUTE THROUGH,kullu onto ladakh,1
moorcroft,COLLECTED INFORMATION,fifty volumes of personal papers,1
bashahr state,REVENUE ADMINISTRATION IN,indian rule,1
1861,SAW THE BEGINNING,extensive survey and mapping of forests of punjab himalayas,1
simla,OFFICIALLY DECLARED AS,summer residence of viceroy of british crown in india,1
1865,SAW THE BEGINNING,second or middle phase of british rule in western himalayas,1
british,STABILIZED AN ENTIRE PATTERN OF OFFICIAL KNOWLEDGE ABOUT AND POLICIES FOR THIS REGION BASED ON,benign paternalism over 'noble savages',1
private speculators,COMMENCED TIMBER OPERATIONS FROM,punjab hill states along the banks of big rivers,1
government,COMMISSIONED FOREST SURVEY AND CARRIED OUT FOREST SETTLEMENTS BY,decades later,1
cleghorn,REPORT,forests of the punjab and the western himalaya,1
buck,WRITE,simla: past and present,1
george francis white,VIEWS,india; chiefly among the himalaya mountains,1
lyall,COMPLETED,british district of kangra,1
punjab states gazetteer1910,REPRINTED,"delhi, 1995",1
uttar pradesh,ASSIMILATION,larger uttar pradesh during independence,1
radical reform,EMPOWER,proprietary peasants,1
region,HAVE,commercial and strategic interests,1
british indian empire,OVERESTIMATE,importance of the region,1
tibetans,PROVIDE,natural products,1
government of british india,AWARD,prize,1
russia,CHARACTERISE,measures towards natives of central asia,1
british india,CHARACTERISE,measures by misplaced squeamishness and unnecessary timidity,1
bussahir,CONQUER,by the bashahr wazeer,1
this,DESTRUCTION,timber,1
travellers and their servants,CUTTING DOWN,young trees,1
many of the finest trees,FELLED OR BLOWN UP,merely for amusement or occupation,1
unskilled persons,WORKING FOR IMMEDIATE PROFIT,without regard for young trees or future supply of timber,1
the forest department,INSTITUTED THE 'SCIENTIFIC' MANAGEMENT OF FORESTS,to maximise the timber yield without totally destroying the possibility of regeneration,1
forest settlements,REMOVED CONTROL FROM LOCAL COMMUNITIES AND RULERS,and gave responsibility for their management to the forest department,1
the forest department,"RECORDED IN DETAIL THE RESPECTIVE RIGHTS OF VILLAGERS, HILL STATE AND FOREST DEPARTMENT","after classifying forests into reserved, protected and open on basis of commercial importance of trees",1
simla,WENT THROUGH ONE SEVERE SCARE RELATED TO 'INTENTIONS' OF GARRISON STATIONED IN NEIGHBOURING CANTONMENTS OF KASAULI AND JUTOGH,null,1
simla,BE,the safest place in india during the mutinies of 1857,1
william hay,SAY,'simla was the safest place in india during the mutinies of 1857',1
the western himalayas,BE,politically cool,1
these hill stations,INCREASE,"phenomenally, both among the officials and the non-official british in the aftermath of the revolt",1
many newer ones,BE BUILT,many newer ones were built,1
the climate and vegetation,INDUCE,many europeans to spend the summer months here to escape the heat of the plains of north india,1
john lawrence,LIST,the advantages of this town thus,1
this place,SEEM,the best for the supreme government,1
simla hills,HAVE,"about six european settlements which included hill stations, garrisons and sanatoria with a total population in excess of twenty two thousand",1
kennedy,FOUND,it was becoming difficult to carry on government business from tents and at the same time provide accommodation to travellers,1
cis-sutlej hill states,HAD,government business,1
european houses,HAD,residents all through the year,1
auckland,WAS,the first to stay there for a considerable length of time during summer,1
simla,EMERGED,"as nodal points for the local economy, providing a market for the sale of agricultural products and labour services",1
british laws,COULD BE ADMINISTERED,from these towns,1
lord auckland,SPENT,two continuous years in north india from 1837,1
simla,HAD A POPULATION OF,"13,258 in 1881",1
hindus,WERE CLASSIFIED,"as 8,377",1
musalmans,WERE CLASSIFIED,"as 3,153",1
these summer resorts/hill stations/sanatoria,HAD POPULATIONS THAT WERE MOSTLY TRANSITORY,coming up into the mountains during the beginning of summer in the plains of north india and returning at the onset of winter in the mountains,1
hill stations,REMAINED A VIABLE OPTION FOR,the higher ranks of the british official establishment,1
the effects,WERE ON,the local economy and society,1
these hill stations,CAN BE DIVIDED INTO TWO BROAD CATEGORIES,their economic and social impact on local conditions and their function as centres for administering british laws and their effect on the local environment and transformation of its historical geography,1
the establishment of these towns in the hills,WAS THE MOST IMPORTANT ECONOMIC AND SOCIAL EFFECT,of thousands of men having to be collected together from great distances,1
"william edwards, superintendent of simla hill states 1847–52",OBSERVED,"'15,000 to 20,000 men had on more than one occasion to be collected together from great distances.' quoted in e.j.",1
some,RETAIN,upto 200 hill porters',1
himalayan peasants,CARRIED IN THE CARRIAGE OF BRITISH BAGGAGE,every year saw an increase in the number of people trudging up the mountain paths to these hill stations trailed by long lines of porters,1
the treaties with these himalayan states,MADE IT MANDATORY FOR THEM TO PROVIDE A QUOTA OF PORTERS FOR BRITISH OFFICIALS ON DUTY,though the actual requirements were much larger than what was available through these treaties,1
the government,FIXED BY,rates for conscripting peasants to carry them at rates,1
money,WAS MORE THAN THE PORTAGE RATES IN THE PLAINS,this conscription of labour was extremely unpopular among the peasantry,1
the agricultural operations of the peasantry,CAME AT TIMES THAT WERE IMPORTANT FOR,these requisitions for portage,1
tea,INTRODUCED_BY,fraser,1
potato,INTRODUCED_BY,fraser,1
new crops,CULTIVATED_FOR,town markets,1
cash,INCREASED_DEMAND_FOR,later periods of british rule,1
commodity exchange,EXPANDED_NETWORK_OF,later periods of british rule,1
labour,REQUIRED_FOR,carrying baggage and personnel for annual summer migration to hill stations,1
valleys and mid-mountain areas,PREFERRED_PLACES_FOR,building habitations and agriculture,1
british interests,ARRAY_OF,coming to the mountains,1
kullu,PUBLISHED_IN,"new delhi, 1994",1
british settlements,BUILT_ON,high mountain ridges between elevations of 5000 to 7500 feet,1
british positions,ESTABLISHED_AT,mountaintops that commanded the surrounding valleys,1
annual migration of british,LARGEST_FLOW_OF,men and material in the region,1
local products,DIVERTED_FOR,commodities,1
communication links,AFFECTED_BY,new settlements,1
agriculture and pastoralism,DISORDERED_BY,establishment of british settlements,1
peasants,REQUIRED_TO_TRAVEL_THROUGH,territories not part of their existing pattern,1
water and essential food items,DIFFICULT_TO_PROCURE_IN,vicinity of new british settlements,1
european travelogues,INDICATE,this,1
the british,COMPLETE,the first formal land settlement in the western himalayas,1
the khalsa,RESULT IN THE EXTENSION OF POWER,throughout the punjab plains and the adjoining mountains,1
prior interventions,ATTEMPT TO SETTLE,revenue matters in a few hill states,1
jubbal state,HAVE A LONG RUNNING QUARREL BETWEEN RANA AND WAZEERS,that leads to political and fiscal crisis,1
the british,DIRECT THE POLITICAL AGENT OF THE HILL STATES TO INTERVENE,"to settle matters, both political and revenue",1
all agricultural land,HAVE ITS STATUS FIXED,in the settlement,1
muafi jagirs,CONTINUE TO BE RENT FREE,"belonging to rana, his close relatives, wazeers and some important temples",1
rest of the land,HAVE RENT FIXED IN CONFORMITY WITH LOCAL CUSTOM,in joon and patha measurements,1
british officials,RECORDED DISCOVERY,nature of land rights,1
various british officials,GROWING KNOWLEDGE,social practices,1
himalayan social formation,WORKING,officials' opinions and policy prescriptions,1
british government,TOOK BALANCE,"rs 2,681",1
east india company,DIRECTED ATTENTION,conquest of the punjab province,1
hill stations,GREW IN POPULARITY,none,1
western himalayas,DESIGNATED,punjab mountains,1
cartable road,LAID,from the plains to the border with tibetan areas,1
land revenue settlement,INITIATED,none,1
entire province of punjab,PART OF,land settlements,1
study of land relations,INFORMED,land settlements in non-mountainous areas,1
patha,MEASURED,fertile irrigated land vs stony dry land,1
barnes,COMPLETED FIRST LARGE-SCALE LAND SETTLEMENT,western himalayas in 1850,1
individual peasant,ENTERED CULTIVATED LAND INTO NAME,none,1
state property,DECLARED,waste and forest categories without disturbing traditional usufruct rights,1
british,CONQUER,land,1
land,BE,agricultural land or forested slopes or waste,1
british,DESIGNATE,waste,1
claims to the land and its produce,OVERLAPPING,each other,1
element of ownership,BE,absent,1
british political agents and land settlement officers,ASSUME,that the ruler of the tract owned the entire land,1
ruler of the tract,OWN,the entire land and all these other claims,1
british,MAKE,first a-priori assumption about the nature of land rights and social relations,1
notions of ‘oriental despotism’,INFORM,the british a-priori assumption,1
himalayan ruler,DESIGNATE AS HIS SOVEREIGN DOMAIN,entire territory,1
british,GIVE,the ruler of the hill state an unambiguous right to land,1
ruler of the hill state,ENJOY,uncontested control over land under its jurisdiction,1
british,REALISE,that the question of political pre-eminence was far from settled in most parts of the western himalayas,1
the foundations of british rule,RELATED_TO,british rule,1
the ruler of the hill state,GRANTED_SOVEREIGNTY_BY,the conquering british,1
the sanad,GIVEN_TO,the designated raja or rana of the tract,1
other political authorities,REMOVED_LEGALITY_OF,none (not specified),1
clan based political institution and offices of the people,CLASSIFIED_AS,'cultural traditions' or 'feudal remnants',1
the british,DID_NOT_RECOGNISE,any other form of political authority,1
the ruler of the hill state,GIVEN_PRE-EMINENCE_IN,social and political rank,1
british policy and settlement officer,ASSUMED,that the ruler vested all control in himself,1
the british,CLAIMED_ALL_RIGHTS_THAT_HAD_EARLIER_ACCRUED_TO,the rajas and ranas in areas under their direct control,1
the ruler of the hill state,VESTED_ALL_CONTROL_IN,himself and others had rights of usufruct,1
entities other than the raja or rana,COMPLICATED_BRITISH_ABILITY_TO_LEGISLATE_AND_GOVERN,the territory,1
class stratification,WAS RETARDED,in the western himalayas,1
land,WAS GIVEN AS GRANT TO,brahmins and other state officials,1
muafi or sasan,WAS OFTEN CULTIVATED BY,bethus,1
bethus,WERE BONDED TO THE SAME TRACT OF LAND OVER MANY GENERATIONS,it,1
land settlements,ARE AVAILABLE IN,all the land settlements of the region as well as in gazetteers,1
muafi,"INCLUDED THE REVENUE AND BEGAR OF THE VILLAGE INCLUSIVE OF THE KHASH-KANET PEASANTRY, THE BETHUS AND OTHER MENIAL SERVANTS","the muafi included the revenue and begar of the village inclusive of the khash-kanet peasantry, the bethus and other menial servants",1
land,WAS ASSESSED,equally,1
muafi and temple lands,WERE NOT REQUIRED TO PAY REVENUE,some of the muafi and temple lands were not required to pay revenue,1
land settlements,RECOGNISED THE RIGHTS OF THESE NON-CULTIVATING OWNERS,"mostly rajput jagirdars and brahmin muafidars, in the same category as the cultivating peasantry",1
british law,MADE NO DIFFERENCE BETWEEN,these two distinct local categories of land rights,1
revenue practices,ROOTED IN,absence of ownership,1
british,FOUND,"revenue practices frustrating, irrational and liable to abuse",1
land revenue dues,IMPOSSIBLE TO FIX RESPONSIBILITY FOR,one person or institution,1
multiple political power centres,REFLECTED AND SUSTAINED,situation,1
colonial policy,DID NOT ENTERTAIN THE LEGITIMACY OF,any political power other than the ordained ruler,1
ruler,MADE RESPONSIBLE FOR,land revenue and political stability,1
peasant,POSSESSOR OF,cultivated portions of land,1
hill state,BECAME THE MALIK-E-ALA,superior owners,1
peasants,DESIGNATED AS,"malik-e-adna, or inferior owners",1
jagirs and muafi land,INCLUDED IN THE CATEGORY OF,"malik-e-adna, or inferior owners",1
temples and deities,AFFORDED NO LEGITIMACY TO,as holders of jagirs and muafi land,1
institutions,INTERMESHED_WITH,those_of_the_emergent_states,1
allocation,WAS_AN IMPORTANTES_FUNCTION_OF,these_offices_at_all_levels,1
lambardar,MAINTAINED_AUTHORITY_ON_BASIS_OF,this_power,1
british_land_settlements,REMOVED_THIS_LINK_BETWEEN,power_and_natural_resources,1
settlement_officers,COULD_GO_OUT_OF_THEIR_WAY_TO_ACCOMMODATE,popular_aspirations_and_harmless_prejudices,1
village_leaders,GAINED_EMPLOYMENT_IN_THE_LOCAL_LEVELS_OF_BRITISH_ADMINISTRATION,based_on_the_power_of_tradition,1
these_local_elites,DERIVED_POWER_FROM_THEIR_ABILITY_TO_MISUSE,access_to_the_new_sources_of_political_authority,1
some states,REDUCE,submission,1
sirmaur,HAVE,effective political control,1
mandi,HAVE,effective political control,1
chamba,HAVE,effective political control,1
suket,HAVE,effective political control,1
bilaspur,HAVE,effective political control,1
nalagarh,HAVE,effective political control,1
other states,ESTABLISH,supremacy,1
tribal polities,CO-OPTION,tribal institutions or chiefs,1
bashahr,HAVE,compromises with tribal polities,1
kullu,HAVE,compromises with tribal polities,1
jubbal,HAVE,compromises with tribal polities,1
large areas,REMAIN,outside effective control by state structures,1
the british east india company,SEEK,help of various kings and chiefs,1
various kings and chiefs,PROMISE,restitution of their territories,1
gurkhas,FIGHT AGAINST,the british east india company,1
respective sections of the gazetteers,REFER TO,different states,1
hutchinson and vogel,WRITE,history of the panjab hill states,1
the british,RETAIN,some states due to their strategic importance,1
other states,RETAINED,without a clear claim to the throne,1
a few states,LOSE,parts of their territory due to suspect loyalty,1
some states,CEDE,part of their territory to compensate the british,1
the british,INTERVENE,as little as possible in internal matters of these states,1
british officers,POST,"at sabathu, simla and kotgarh to keep a strict check",1
hill states,QUARREL AND SKIRMISH,without british intervention,1
garhwal state,WAS DISSECTED BY,the british,1
the yamuna and the tons,WAS RETURNED TO,the ruler,1
jaunsar and bawar,WERE KEPT FOR THIS REASON AND LATER INCORPORATED INTO,the dehradun district,1
the rulers of these hill states,"WERE CONCEIVED OF AS LITTLE MONARCHS AND THEIR CLAIM OVER THE TERRITORY GRANTED TO THEM AS ABSOLUTE, WITH NOMINAL INTERNAL INDEPENDENCE UNDER THE SUPERVISION OF",the crown,1
these hill states,WERE EXPECTED TO PROVIDE,begar labour to the british government and help the paramount power in times of war,1
these treaties,ABOLISHED,"the practice of levying custom duties and other tolls on goods, people and animals crossing the boundaries of these states",1
the institution of these sanads,CHANGED THE NATURE OF THE HIMALAYAN POLITIES,immediately,1
the rulers of these himalayan hill states,WERE FREED FROM THE MANDATE OF,these traditional legitimising bodies,1
the hill state,EXISTED NOT BY THE MANDATE OF THE DEITY OF THE RULING FAMILY OR OF THE CLAN BUT BY THE PLEASURE OF,the british crown,1
"aitchison, a collection of treaties, engagements and sanads relating to india and neighbouring countries",WAS PUBLISHED IN,"calcutta, 1892, vol. the foundations of british rule",1
the unambiguous vesting of rights on their fields,STRENGTHENED THE POSITION OF,the cultivating peasantry,1
the rulers vis-à-vis their subjects,WAS STRENGTHENED SINCE THE LATTER NOW HAD NO DIRECT SAY IN THE WORKING OF THESE STATES' ADMINISTRATIONS BUT HAD TO ROUTE THEIR OPINIONS THROUGH,the british officials,1
hill states,INSULATED,rulers,1
hill states,ATE INTO,power,1
hill states,REDUCED,legitimacy,1
british rule,SET WELL-DEFINED LIMITS,power of the hill state,1
officials on the field,PERCEIVED,local custom and traditional practice,1
himalayan peasant,PERSPECTIVE,british rule,1
money,INTRUDED,western himalayas,1
peasantry,ACTUALISED,economic muscle,1
hill states,GAINED,recently gifted political autonomy,1
local communities,NEGOTIATION AND STRUGGLE,land revenue and its collection,1
